Id,SalePrice
1461,117009.44361586423
1462,145960.1332863075
1463,175289.57749629897
1464,184853.68333511494
1465,187157.6114445973
1466,168550.28612713498
1467,168110.72741462936
1468,161907.25639509797
1469,193689.42996828232
1470,114983.39037243392
1471,210124.8648140695
1472,114576.09012865805
1473,109506.11783767007
1474,160129.42118757096
1475,126132.21090537016
1476,325256.7083286315
1477,232557.60324490778
1478,273521.8696836907
1479,261726.70346212134
1480,506736.11478919204
1481,307136.41090925754
1482,207584.47542839334
1483,161879.6770517678
1484,165297.7713687038
1485,173100.9909632456
1486,195660.44054626054
1487,310731.3456301429
1488,247431.71453417762
1489,178808.10785069477
1490,214979.97555481113
1491,182390.27422000884
1492,100127.41979893435
1493,179744.5207991643
1494,278655.06918757956
1495,302458.09030355106
1496,231209.3242151688
1497,187612.7712589227
1498,162342.16329756333
1499,164728.05594809708
1500,152770.43770912226
1501,162025.90337288918
1502,155528.47514954236
1503,274304.2287014052
1504,237544.866964141
1505,220825.5946472267
1506,183913.4317540155
1507,262758.114459652
1508,198510.3223286461
1509,152792.8927315426
1510,137701.32874446554
1511,142961.87390699802
1512,157885.71961704586
1513,144199.26662904027
1514,166724.53335183632
1515,209615.2591571362
1516,144732.0388838751
1517,161127.934988217
1518,143376.09933614917
1519,219213.6293155784
1520,124458.89708441771
1521,128870.82473345824
1522,176617.06145594863
1523,104306.21935314976
1524,108933.68607885235
1525,112619.0954171208
1526,112301.41203192745
1527,100152.53543335258
1528,139588.6137312954
1529,130576.22932591038
1530,173314.0049578125
1531,119340.81218976196
1532,97198.68801547328
1533,134585.7840959545
1534,129802.93350060604
1535,161219.32963443725
1536,108789.00820283161
1537,88409.88623358143
1538,157913.9623575045
1539,175718.18508424464
1540,117178.6245584455
1541,143555.0411829655
1542,150402.24277738307
1543,201360.64524999107
1544,85172.04577980323
1545,115039.09553792105
1546,134413.75803169623
1547,129855.3130967012
1548,127222.19550309086
1549,113772.65257806623
1550,135300.95435069758
1551,132414.98829307573
1552,132929.49749794317
1553,122946.77734250654
1554,123846.61358508625
1555,162547.34692999182
1556,100240.0509997197
1557,111777.24695067918
1558,107490.30515321136
1559,97680.60428878547
1560,139775.4555443652
1561,136511.3936297094
1562,121277.73361998438
1563,114343.2776806312
1564,183518.61549089602
1565,147059.10255860927
1566,235639.87950347064
1567,87080.30762953163
1568,210024.83387462908
1569,123791.07772581562
1570,127913.78651005373
